ra,dec,phot_g_mean_mag,bp_rp
245.09101785263962,-42.16432985355511,12.357164,4.5285683
244.65885321889556,-41.95272068429174,11.282574,0.9827213
246.8132404928863,-42.563498360342486,12.764156,3.6620426
246.72107895152132,-42.525041455564434,11.895633,5.8083296
246.52209050520105,-42.250540946711176,11.726694,1.6750717
246.35567276661376,-42.17884650615196,12.995823,1.0391188
246.3468133991196,-42.116457689990035,12.830197,4.681737
246.22633722535582,-42.23625758594055,11.828114,0.8618374
246.0540185537799,-42.134695137290024,12.825598,1.181591
246.1483567505162,-41.90401014995766,10.737854,2.1141977
246.88716976410095,-42.37394087008353,12.291907,1.2302732
246.76308836474396,-42.2069048519932,11.96498,1.8565779
246.63308676337934,-42.17383719230511,12.985055,2.2741966
247.17689105994936,-41.98234441703993,12.6359005,1.8326769
247.347342907659,-41.727028065747405,12.659194,1.0821342
247.3776408815995,-41.67146907318039,12.735241,1.9310665
246.9500702757112,-41.737224509682605,11.815142,1.092493
247.11103315727263,-41.49712608416217,12.370125,3.6276178
246.60769197088888,-41.3665844425111,12.356881,1.9564352
246.63414790494517,-41.27327677034174,11.608161,1.9361343
245.40816767612958,-42.18043278305233,12.726694,1.8566551
245.9466575830187,-42.016659624705326,12.829744,1.9074059
246.01721842685131,-41.933465516839696,12.806482,1.3712893
245.91868835501938,-41.84289648620058,12.515111,1.0045776
245.5315232081028,-41.90871594704908,12.841432,1.9817343
245.54493370816087,-41.88135789507377,12.996078,2.6053343
245.6721682420597,-41.50677131406386,12.492006,3.4221487
244.84274222363675,-41.887964733188674,12.987377,2.1417923
244.80314523957722,-41.80673968397237,12.94952,2.1010246
245.59343302105594,-41.490440472299184,12.167041,1.3233852
245.98834262732524,-41.278346467128614,12.616719,1.4447021
246.56612084763717,-41.21234137639261,12.216144,1.1760206
246.69606638819295,-41.03878933974192,12.2381,3.170662
246.482147237014,-40.70147067862406,10.441988,0.9823189
246.0227677017224,-40.980551957036006,12.640563,1.027194
245.95618142341306,-40.897307325624816,12.762282,1.2201405
246.0022987381537,-40.89301532111964,12.663808,1.1620951
246.06589320347157,-40.81164869126,12.306206,2.1414337
246.13694952371043,-40.73010102659564,12.568614,2.1567802
246.3464017326945,-40.67731815386098,11.580203,0.89778423
246.35811814121334,-40.624781882363294,10.9954405,1.0317173
246.4125772112017,-40.609564101226326,12.3358135,1.1334419
246.31302042895362,-40.65778639209657,10.093593,0.93203354
246.15196313883416,-40.68370083814411,12.907048,1.1559057
245.84336818443123,-40.637614218805865,11.005226,1.0332136
246.03416220890097,-40.494950549452724,12.229904,1.4422522
244.04799241827223,-41.96036944797852,11.731713,0.79388905
244.44410025775164,-42.04687539156451,11.707335,2.4317074
244.4644015428903,-41.85043376938089,11.116466,2.1506252
244.16416756912523,-41.840464009839565,12.933177,2.2428226
244.06232959501807,-41.83252236692976,11.486797,4.923188
244.08061364354847,-41.73699610081655,11.756522,1.9836082
244.28886893259667,-41.517305073772924,12.1658325,2.2272873
243.32641427163637,-41.78290159398226,11.268641,1.792695
244.01081631889463,-41.08874401030453,12.076407,1.5030909
243.1180105915085,-41.40988576142191,12.243522,1.5819359
243.51041052926686,-41.25220917832719,12.7783,4.715249
243.60401472610533,-41.14458580594474,12.830451,1.9759703
243.75099234568552,-40.915734690868234,12.893786,1.2546206
243.4787570501448,-40.95569264894886,12.234881,1.9171114
243.55346119008829,-40.82381403728503,12.194373,0.68103886
243.53886330280602,-40.7599196842861,12.591611,1.3500824
242.97032881707747,-41.34657372687772,10.24021,1.7001925
242.88645612662074,-41.34241311329156,12.822755,1.0460911
242.9970371576059,-41.28813646696983,11.517288,1.639781
242.80449105819025,-41.2565876307055,12.4384775,0.64465714
242.84209910166652,-41.259535714901574,12.504819,1.6119261
242.89735629201496,-41.19855343243655,12.982021,1.7758293
243.24581357689436,-41.01116025733478,12.319594,1.3772163
243.1857804143931,-41.016282583238095,12.218738,1.8027706
242.75977439370757,-40.984895639494546,11.892185,3.0719366
242.83344001739715,-40.77576453681817,11.809032,1.6554871
243.32413558515557,-40.851195361843445,12.165275,1.1758795
243.3923070323204,-40.789726495230994,12.381075,2.18441
243.26743480887097,-40.72977411708136,11.460392,1.7116575
243.57594469172236,-40.669506904142516,12.82121,0.914608
243.45745401179425,-40.56638969476238,12.99614,1.1528711
243.22314352455797,-40.387685849619764,10.815939,3.2283812
244.9804682176172,-41.43414038438136,10.689295,2.3529453
244.83651070552511,-40.91943389200351,11.965868,1.3295374
244.98290892903327,-40.86903195374183,12.155619,0.760334
244.5305661575266,-41.020421896000904,12.898084,2.2556162
244.1099017840252,-40.98540355533207,12.906593,1.5349092
244.06996418128378,-40.99261869535334,12.75111,2.0953484
244.74381197272388,-40.870001966769316,12.346664,2.1119452
244.68607851788542,-40.751529169959944,12.8952675,1.2103872
244.8423475999109,-40.67965606826748,11.045177,0.7794695
244.73993304568063,-40.616437032241414,12.292052,2.682126
244.54482809440378,-40.54089895358854,12.592169,2.6826143
244.56988561404282,-40.447616177245976,12.754151,1.3550835
245.27121677628736,-40.829694543138345,12.868652,2.1334124
245.22350243520916,-40.802567829553176,12.154216,1.0774117
245.23018385860982,-40.77755254688362,12.439714,2.3468494
245.20110077354528,-40.77747015210903,12.868254,1.8659077
245.22694729274627,-40.443015904066314,12.6942215,2.0555372
245.5410062697565,-40.45050535619249,12.981651,1.5669756
245.53610572734507,-40.16783380301073,12.920464,2.0658836
245.88100302318267,-40.035974652892484,11.341824,3.6842575
244.89936822412938,-40.36275205130669,12.721821,2.3326569
244.96452083573672,-40.02490114018529,11.760578,1.1571503
245.5203663815049,-39.73753431263068,11.983695,2.59552
245.23467502843664,-39.92970330189364,10.850678,2.472252
245.16907401324966,-39.9625241221046,11.4831505,2.0052862
245.35372036459987,-39.72469772886517,12.809265,1.9423685
245.431412497846,-39.63485450458482,12.454401,3.4067183
243.8538819950383,-40.43358162741279,12.742337,1.8784704
244.08288568360058,-40.24134033802605,12.954004,1.4985323
244.36836672569723,-40.18022092037913,8.874822,2.349402
244.26344790182662,-39.97723553307906,12.480363,2.2877417
244.3662191084462,-39.89282467163819,12.450786,1.9930801
243.77808394198988,-40.344401256483266,12.117712,2.135642
243.37233774595268,-40.27391431118606,12.847965,2.4475822
243.4901830264685,-40.14990257255443,10.080433,2.1749754
244.2824932452717,-39.82553362735492,12.570662,0.97633934
244.74085176011906,-39.95337580971757,10.62828,0.83362484
244.74629804233095,-39.68003703641524,11.582736,1.7583771
244.5559667427027,-39.60960841361502,8.954965,1.6417017
245.32210535724911,-39.422299950711356,10.184494,0.85558414
244.7370933381793,-39.4391982093979,11.802337,1.7820368
244.87071538989593,-39.29618757625796,11.428964,1.9142389
244.29986144335626,-39.567394071508026,10.387621,1.0140419
244.26532003761793,-39.42356020242514,12.011084,0.88549995
244.4329083230141,-39.263071697152675,9.413381,2.0079079
244.26955180610219,-39.16571375808882,12.69487,2.708188
244.81547582004225,-39.21964678410085,11.433737,0.6302757
244.6845029040126,-39.253222181394854,12.113661,1.7251492
244.6899552321154,-39.18102626427118,12.613769,1.3078842
240.9968963017549,-41.07789367153908,9.766466,2.0203524
240.9536297156962,-41.0310412603821,12.893939,2.5969486
240.78135479306195,-40.774934047070424,10.803206,2.1813946
240.2795384502271,-40.837600622766985,12.770901,1.9373646
240.0504708125087,-40.741305074981966,12.079739,1.7134552
240.4721580379576,-40.77736455602304,12.715745,0.9054661
239.35805273038577,-40.56265087914266,9.6479225,0.39409828
239.30482562015305,-40.57300245115385,12.010669,1.7141104
239.8940301827855,-40.546858865082285,11.876738,2.6188965
239.82357742916685,-40.39811199079217,12.928941,1.6371727
